File Name,Version,Size,Number of Smells,Churn,Max Churn,Avg Churn,Chg Set Size,Max Chg Set Size,Avg Chg Set Size,LOC Added,MAX LOC Added,AVG LOC Added,Number of Revisions,Number of Authors,Age in Weeks,Total Lines Touched,Weighted Age,Number of bugs
src/main/java/org/apache/tika/mime/Clause.java,0.1-incubating,71,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/main/java/org/apache/tika/metadata/TikaMetadataKeys.java,0.1-incubating,26,2,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/mime/Patterns.java,0.1-incubating,181,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/main/java/org/apache/tika/utils/RegexUtils.java,0.1-incubating,66,2,0,0,0,0,0,0,0,0,0,0,0,68,0,0,No
src/test/java/org/apache/tika/parser/txt/TXTParserTest.java,0.1-incubating,88,0,4,4,2,21,18,11,13,12,6.5,2,1,60,22,2.727272727,No
src/main/java/org/apache/tika/metadata/HttpHeaders.java,0.1-incubating,47,2,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/metadata/Metadata.java,0.1-incubating,216,2,0,0,0,0,0,0,0,0,0,0,0,78,0,0,No
src/main/java/org/apache/tika/utils/StringUtil.java,0.1-incubating,212,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/main/java/org/apache/tika/parser/ParserPostProcessor.java,0.1-incubating,72,2,3,3,3,18,18,18,7,7,7,1,1,61,11,5.545454545,No
src/main/java/org/apache/tika/parser/microsoft/TextCell.java,0.2,37,0,0,0,0,71,71,71,37,37,37,0,0,77,74,1.040540541,No
src/main/java/org/apache/tika/parser/xml/XMLParser.java,0.2,73,2,0,0,0,71,71,71,73,73,73,0,0,67,146,0.45890411,No
src/test/java/org/apache/tika/parser/xml/DcXMLParserTest.java,0.2,77,0,0,0,0,71,71,71,77,77,77,0,0,59,154,0.383116883,No
src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,0.2,171,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,No
src/test/java/org/apache/tika/mime/MimeTypeTest.java,0.2,110,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,No
src/main/java/org/apache/tika/mime/MagicClause.java,0.2,52,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/parser/asm/ClassParser.java,0.2,51,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/pdf/PDFParser.java,0.2,92,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/parser/microsoft/OutlookParserTest.java,0.2,65,0,0,0,0,71,71,71,65,65,65,0,0,12,130,0.092307692,No
src/main/java/org/apache/tika/parser/pkg/GzipParser.java,0.2,69,0,0,0,0,71,71,71,69,69,69,0,0,67,138,0.485507246,No
